ପରିଚାଳନା,Management
ପରିବାରରେ,in the family
ପୁଅ,Son
ପୂର୍ଣ୍ଣ,full
ପ୍ରଭାବ,Effect
ଫିଲ୍ମ,Film
ବଡ,big
ବର୍ଣ୍ଣିତ,Described
ଭଗବାନ,God
ଭୂମିକା,role
ଯେପରି,As
ରକ୍ତଚାପ,blood pressure
ଶ୍ରେଣୀ,Class
ସଂଳାପ,Dialogue
ସଂସ୍କୃତ,Sanskrit
ସାମାନ୍ୟ,slight
ସ୍ନାତକୋତ୍ତର,Graduate
ସ୍ୱାମୀ,Husband
ହାତରେ,in hand
ହୋଇଥାଏ।,happens.
୧୮,18
୨୫,25
blood,blood
ଅତ୍ୟଧିକ,Too much
ଅପରେଶନ,operation
ଆକାର,size
ଆଲୋକ,Light
ଉପନ୍ୟାସ,novel
ଏଠାକାର,Here
କଂଗ୍ରେସର,Congress
କରିଛି,Done
କହିଥିଲେ,Said
କେବେ,when
ଚର୍ମ,Skin
ଚିହ୍ନ,Sign
ଜଟିଳ,Complicated
ତାମିଲ,Tamil
ଦାୟିତ୍ୱ,Responsibilities
ଦେହରେ,in the body
ପାର୍ଟିର,of the party
ପୃଥିବୀରେ,On earth
ପ୍ରଚାର,Propaganda
ବାହାରେ,Outside
ମତରେ,In opinion
ମଧ୍ୟମ,medium
ମାନବ,Human
ଯିଏ,whoever
ରଖିଥିଲେ,kept
ରାଷ୍ଟ୍ରପତି,President
ରେଳ,Rail
ଲେଖକ,The writer
ସମ୍ଭବ,Possible
ସମୟର,of time
ସ୍ତର,level
ସ୍ଥାପିତ,Installed
ସ୍ଥିତ,Positioned
ସ୍ଥିର,Fixed
୧୩,13
୫୦,50
ଆଗରୁ,in advance
ଇଣ୍ଡିଆ,India
ଉତ୍ପାଦନ,Manufacturing
କମ୍ପାନୀ,Company
କମ୍ପ୍ୟୁଟର,computer
କରାଯାଇଥିବା,Done
କଳାକାର,Artist
ଘଣ୍ଟା,Clock
ଚତୁର୍ଥ,IV
ଜୀବନରେ,in life
ଠିକ,OK
ଡଲାର,dollar
ତିନୋଟି,Three
ଦିନରେ,during the day
ଧରଣର,Kind of
ଧାରଣ,retention
ନାମିତ,Named
ନିୟନ୍ତ୍ରଣ,control
ନୀତି,Policy
ପସନ୍ଦ,choice
ପିତାଙ୍କ,father
ପ୍ରଧାନ,Chief
ପ୍ରଭୃତି,Type
ଫେରି,Go back
ବରଣ,cover
ବାର୍ଷିକ,yearly
ବିଜୁ,BJ
ବିଜେ,BJ
ବିଶ୍ୱବିଦ୍ୟାଳୟରୁ,from university
ଭଉଣୀ,sister
ମତ,opinion
ମିଶି,Together
ମୃତ୍ୟୁବରଣ,dead
ମୋ,Mo
ଯାଇଥିଲେ,went
ରକ୍ଷା,Protection
ରାଜଧାନୀ,Capital
ରୂପ,appearance
ଲକ୍ଷ୍ୟ,Aim
ଲୋକମାନେ,People
ଶତାବ୍ଦୀର,century
ଶବ୍ଦର,of words
ସ୍ୱରୂପ,However
ହଜାର,thousand
ହାତ,hand
ହୋଇଥାନ୍ତି,are
୨୬,26
and,and
ଅଙ୍ଗ,organ
ଅନୁଷ୍ଠାନ,institution
ଆଘାତ,Injury
ଆର୍ଥିକ,Finance
ଉତ୍କଳ,Utah
ଉତ୍ସ,source
ଉନ୍ନତ,Advanced
ଏଥି,Of this
କରିବେ,Will do
କଳାକାରମାନେ,Artists
ଖାଇବା,to eat
ଗବେଷଣା,Research
ଜମି,Land
ଜାତ,Born
ତରଙ୍ଗ,the wave
ଦେବୀଙ୍କ,Goddess
ପରିଚୟ,Introduction
ପ୍ରସାରିତ,aired
ପ୍ରାଥମିକ,Primary
ଫୁଲ,Flowers
ବଳିଆ,Dhole
ବାହାରି,Get out
ଭାଷାର,of language
ମାଆ,Mother
ରୂପରେ,in form
ସଂଯୁକ୍ତ,Connected
ସପ୍ତାହ,week
ସମୁଦ୍ର,the sea
ସମ୍ପାଦକ,Editor
ସାଂଘାତିକ,Fatal
ସାମଲ,Samal
ସୀମା,border
ସ୍କୁଲରେ,at school
ସ୍ନାନ,Bath
ହ୍ରାସ,Reduction
୨୦୧୧,2011
୨୦୧୩,2013
୨୦୧୬,2016
୨୭,27
ଅଧ୍ୟୟନ,Study
ଆମ,Us
ଆମେରିକାର,American
ଆହୁରି,Also
ଆୟୋଜନ,Organization
ଉତ୍ତମ,Good
ଐତିହାସିକ,historical
ଓଡ଼ିଶୀ,The Odyssey
କଟକ,cut
କଣିକା,particles
କଥାଚିତ୍ରରେ,In cartoons
କମିଟି,Committee
କର,do
କଲରାପତରିଆ,Kalapataria
କ୍ରମେ,by
ଖର୍ଚ୍ଚ,expenses
ଗଲେ,Went
ଗୁମ୍ଫା,Cave
ଗ୍ରାମର,of the village
ଡି,d
ଦରକାର,need
ଦାନ,Donation
ଦିନେ,One day
ଦିଲ୍ଲୀ,Delhi
ଦେବତା,god
ନଗର,City
ନଷ୍ଟ,Damaged
ନିଯୁକ୍ତି,Recruitment
ନେତା,Leader
ପତ୍ନୀ,Wife
ପରିବେଶ,environment
ପାର୍ଟି,Party
ପୁନଃ,Again
ପୁରୁଣା,Old
ପୃଥିବୀର,of the earth
ପ୍ରକୃତ,True
ପ୍ରତିଷ୍ଠିତ,Established
ଫୁଟ,ft
ବର୍ଗ,sq
ବିଚାର,Judgement
ବିଜୟ,Victory
ବିଶାଳ,Huge
ବୌଦ୍ଧ,Buddhism
ବ୍ୟବସାୟ,Business
ବୟସ୍କ,adult
ମିଟର୍,m
ମୁକ୍ତ,Free
ମୋର,My
ଯଥେଷ୍ଟ,Enough
ରୋଗୀର,of the patient
ସଦର,Sadar
ସମସ୍ତେ,Everyone
ସମାପ୍ତ,Done
ସ୍ୱାଧୀନ,Independent
ହାରାହାରି,Average
୧୭,17
୨୦୦୯,2009
୨୪,24
୨୮,28
the,the
ଅନୁମତି,Permit
ଅବସର,Retirement
ଆଲୋଚନା,Discuss
ଆଶା,Hope
ଉପଲବ୍ଧ,Available
ଉପାୟ,way
କନ୍ୟା,girl
କରାଯାଉଛି,is being done
କରିବ,will do
କାର୍ଯ୍ୟରେ,in action
କୁମ୍ଭୀର,Crocodile
କେଉଁ,which
ଖେଳ,Play
ଗଜପତି,Gajapati
ଗଭୀର,Deep
ଚାଲି,Go on
ଛାଡି,Leaving
ଜନିତ,heavy
ତ୍ୟାଗ,give up
ତ‌ଥା,And so on
ଥିଲା।,was.
ଦେଖା,Look
ଦେବଙ୍କ,God's
ଦୈର୍ଘ୍ୟ,Length
ନଥିଲେ,was not
ନେବା,to take
ପକାଇ,drop
ପକ୍ଷରୁ,on behalf of
ପର୍ବ,Festival
ପାନ,Drink
ପାର୍ଶ୍ୱରେ,on the side
ପୌରାଣିକ,myth
ପ୍ରସ୍ତାବ,proposal
ପ୍ରାଣୀ,Animal
ପ୍ରାୟତଃ,often
ବଙ୍ଗଳା,Bengal
ବର୍ଷରେ,in the year
ବହନ,Carry
ବହୁଳ,Abundant
ବିକ୍ରୟ,Sale
ବିଭାଗର,of the department
ବିଶ୍ୱବିଦ୍ୟାଳୟ,University
ଭୁତାଣୁ,virus
ମନ୍ଦିରକୁ,To the temple
ମସ୍ତିଷ୍କ,Brain
ମାଛ,Fish
ଯାଇଥିବା,gone
ଯୋଗ୍ୟତା,qualification
ରଚିତ,Composed
ରହିଛନ୍ତି,Stayed
ରହିଛି।,There is
ଲାଗେ,It seems
ସ୍ତ୍ରୀ,woman
ହେଇଥାଏ,happens
ହେଇଥିଲେ,was
ହୋଇନାହିଁ,Not done
୧୯୯୦,1990
୨୦୧୩ରେ,In 2013
୭,7
ଅଣ୍ଡିରା,Andira
ଅଧୁନା,Study
ଅବତାର,Avatar
ଅବରୋଧ,blockade
ଅର୍ଜନ,Earn
ଅର୍ଥାତ,Meaning
ଅଶୋକ,Ashoka
ଆକାରର,of size
ଆକ୍ରାନ୍ତ,Outbreak
ଆଣ୍ଟିବାୟୋଟିକ,Antibiotics
ଆମେରିକା,America
ଆସିଥିଲେ,came
ଉତ୍ସବ,Celebration
ଉନ୍ନତି,Improvement
ଋତୁରେ,in season
